----------
Attempting to load source map d1_trainstation_02
Attempting to load source map d1_trainstation_02 with file C:\Users\duckb\eclipse-workspace\Spectre-Client\bin\res\levels\d1_trainstation_02.bsp
Data: 5884176 211813 0 0 LUMP_ENTITIES
Data: 1036 326520 0 0 LUMP_PLANES
Data: 1233636 27328 0 0 LUMP_TEXDATA
Data: 533636 229080 0 0 LUMP_VERTEXES
Data: 5679464 204709 0 0 LUMP_VISIBILITY
Data: 762716 114016 0 0 LUMP_NODES
Data: 876732 356904 0 0 LUMP_TEXINFO
Data: 1423648 348768 1 0 LUMP_FACES
Data: 2545180 3134284 1 0 LUMP_LIGHTING
Data: 6170072 12 2 0 LUMP_OCCLUSION
Data: 327556 206080 0 0 LUMP_LEAFS
Data: 0 0 0 0 LUMP_UNDEFINED
Data: 2421276 117980 0 0 LUMP_EDGES
Data: 2232124 189152 0 0 LUMP_SURFEDGES
Data: 2539256 5568 0 0 LUMP_MODELS
Data: 6095992 70576 0 0 LUMP_WORLDLIGHTS
Data: 2205120 16596 0 0 LUMP_LEAFFACES
Data: 2221716 10408 0 0 LUMP_LEAFBRUSHES
Data: 2024976 26520 0 0 LUMP_BRUSHES
Data: 2051496 153624 0 0 LUMP_BRUSHSIDES
Data: 2544824 104 0 0 LUMP_AREAS
Data: 2544928 252 0 0 LUMP_AREAPORTALS
Data: 0 0 0 0 LUMP_PORTALS
Data: 0 0 0 0 LUMP_CLUSTERS
Data: 0 0 0 0 LUMP_PORTALVERTS
Data: 0 0 0 0 LUMP_CLUSTERPORTALS
Data: 1260964 528 0 0 LUMP_DISPINFO
Data: 1772416 252560 0 0 LUMP_ORIGINALFACES
Data: 0 0 0 0 LUMP_UNUSED
Data: 6243624 856093 0 0 LUMP_PHYSCOLLIDE
Data: 7099720 10512 0 0 LUMP_VERTNORMALS
Data: 7110232 58358 0 0 LUMP_VERTNORMALINDICES
Data: 6166568 3504 0 0 LUMP_DISP_LIGHTMAP_ALPHAS
Data: 1261492 4860 0 0 LUMP_DISP_VERTS
Data: 1267120 14016 0 0 LUMP_DISP_LIGHTMAP_SAMPLE_POSITIONS
Data: 7175952 217286 0 0 LUMP_GAME_LUMP
Data: 6170072 0 0 0 LUMP_LEAFWATERDATA
Data: 1293592 23500 0 0 LUMP_PRIMITIVES
Data: 1317092 0 0 0 LUMP_PRIMVERTS
Data: 1317092 106554 0 0 LUMP_PRIMINDICES
Data: 7393240 1179472 0 0 LUMP_PAKFILE
Data: 6170084 1248 0 0 LUMP_CLIPPORTALVERTS
Data: 6171332 2784 0 0 LUMP_CUBEMAPS
Data: 6174116 56366 0 0 LUMP_TEXDATA_STRING_DATA
Data: 6230484 3636 0 0 LUMP_TEXDATA_STRING_TABLE
Data: 6234120 9504 0 0 LUMP_OVERLAYS
Data: 7168592 7360 0 0 LUMP_LEAFMINDISTTOWATER
Data: 1281136 12456 0 0 LUMP_FACE_MACRO_TEXTURE_INFO
Data: 1266352 768 0 0 LUMP_DISP_TRIS
Data: 7099720 0 0 0 LUMP_PHYSCOLLIDESURFACE
Data: 0 0 0 0 LUMP_UNKNOWN
Data: 0 0 0 0 LUMP_UNKNOWN
Data: 0 0 0 0 LUMP_UNKNOWN
Data: 0 0 0 0 LUMP_UNKNOWN
Data: 0 0 0 0 LUMP_UNKNOWN
Data: 0 0 0 0 LUMP_UNKNOWN
Data: 0 0 0 0 LUMP_UNKNOWN
Data: 0 0 0 0 LUMP_UNKNOWN
Data: 0 0 0 0 LUMP_UNKNOWN
Data: 0 0 0 0 LUMP_UNKNOWN
Data: 0 0 0 0 LUMP_UNKNOWN
Data: 0 0 0 0 LUMP_UNKNOWN
Data: 0 0 0 0 LUMP_UNKNOWN
Data: 0 0 0 0 LUMP_UNKNOWN
----------
